,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
4713,2022-06-17,3,35000,2500,2 out of 2,Super Area,"Vikrampuri, Secunderabad",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
3362,2022-07-05,3,20000,1350,Ground out of 1,Super Area,Thalambur,Chennai,Furnished,Bachelors,3,Contact Owner
4639,2022-07-06,2,15000,1280,Ground out of 1,Super Area,Shamshabad,Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner
445,2022-05-14,2,10000,1050,Ground out of 1,Super Area,Baidyabati,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
2080,2022-06-21,2,6000,660,2 out of 3,Super Area,Electronic City,Bangalore,Unfurnished,Bachelors,1,Contact Owner
452,2022-05-17,2,5146,800,Ground out of 2,Super Area,Sodepur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
1321,2022-07-07,2,55000,650,8 out of 18,Carpet Area,"White Lily Apartment, Bhandup East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2706,2022-05-09,2,14000,585,2 out of 4,Carpet Area,Pandav Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
14,2022-05-05,3,8500,900,Ground out of 2,Carpet Area,Paschim Barisha,Kolkata,Unfurnished,Bachelors,2,Contact Owner
2409,2022-06-08,1,14900,450,Ground out of 5,Carpet Area,Rohini Sector 18,Delhi,Furnished,Bachelors/Family,1,Contact Owner
945,2022-05-25,3,15000,704,5 out of 17,Carpet Area,Thane-Kalyan-Dombivli,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
2098,2022-05-21,2,20000,750,2 out of 3,Carpet Area,"Venkateshappa Layout-Kammanahalli, Kammanahalli",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2939,2022-04-28,1,5500,200,2 out of 4,Super Area,Pusa Institutional Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
360,2022-04-23,1,15000,1000,2 out of 3,Super Area,Barrackpore,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
4423,2022-05-26,2,39000,1283,5 out of 34,Super Area,Gachibowli,Hyderabad,Unfurnished,Bachelors,2,Contact Agent
3174,2022-06-10,2,7500,600,1 out of 2,Super Area,Vandalur,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
3722,2022-05-20,2,19000,800,2 out of 4,Super Area,Mambalam West,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1426,2022-07-06,2,70000,660,Ground out of 6,Carpet Area,Azad Nagar Colaba,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2899,2022-05-10,1,15000,700,4 out of 5,Super Area,DS 19,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
1485,2022-07-09,3,140000,1100,6 out of 12,Carpet Area,Waterfield Road,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
3188,2022-06-29,2,12000,570,Ground out of 2,Carpet Area,"Perungalathur, Chennai Bypass Road",Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
4636,2022-07-06,1,5000,300,Ground out of 2,Super Area,"Ramachandra Puram, NH 9",Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
490,2022-06-30,2,8000,460,Ground out of 2,Carpet Area,Majarhati,Kolkata,Unfurnished,Bachelors,1,Contact Owner
862,2022-05-14,2,95000,825,17 out of 22,Carpet Area,"lokhandwala residency, Worli",Mumbai,Furnished,Bachelors,2,Contact Agent
2653,2022-05-18,1,5500,630,Ground out of 2,Super Area,Uttam Nagar,Delhi,Furnished,Bachelors/Family,1,Contact Owner
3196,2022-05-20,2,13000,660,Ground out of 2,Carpet Area,Virugambakkam,Chennai,Semi-Furnished,Family,2,Contact Agent
4138,2022-07-06,2,15000,1200,1 out of 3,Super Area,Attapur,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
3519,2022-05-25,1,8500,200,1 out of 3,Carpet Area,Arumbakkam,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
506,2022-06-20,1,2200,700,1 out of 3,Super Area,Baranagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
2459,2022-05-19,2,22000,1040,1 out of 2,Carpet Area,"Janak Park, Hari Nagar",Delhi,Semi-Furnished,Bachelors,3,Contact Owner
4711,2022-07-09,3,26000,1450,4 out of 4,Super Area,"Manikonda, Outer Ring Road",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
3828,2022-06-25,2,10000,900,Ground out of 3,Super Area,Nandivaram-Guduvancheri,Chennai,Furnished,Bachelors/Family,2,Contact Owner
1616,2022-06-04,2,13500,700,1 out of 3,Carpet Area,Mathikere,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner
3126,2022-04-30,1,8000,200,Ground out of 2,Super Area,Annanagar East,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
2552,2022-05-27,3,45000,1500,1 out of 12,Carpet Area,"The Shabad Apartment, Dwarka Sector 13",Delhi,Unfurnished,Bachelors,3,Contact Owner
433,2022-06-14,2,5500,650,2 out of 2,Carpet Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
1765,2022-05-05,3,31000,1700,6 out of 9,Super Area,"Electronics City Phase 1, Electronic City",Bangalore,Furnished,Family,3,Contact Owner
2886,2022-06-30,1,16000,400,2 out of 4,Carpet Area,Lajpat Nagar,Delhi,Furnished,Bachelors/Family,1,Contact Agent
2600,2022-05-24,2,18000,730,2 out of 3,Carpet Area,"Arjun Nagar, Safdarjung Enclave",Delhi,Unfurnished,Bachelors/Family,2,Contact Agent
1808,2022-07-09,1,16500,600,4 out of 5,Carpet Area,"Kr Garden-Murugeshpalya, Murugeshpalya, Airport Road",Bangalore,Unfurnished,Bachelors,1,Contact Agent
1822,2022-06-14,2,10000,1350,1 out of 1,Super Area,Rampura,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2755,2022-05-16,4,200000,2700,Ground out of 3,Carpet Area,Greater Kailash 1,Delhi,Unfurnished,Bachelors,4,Contact Agent
2111,2022-05-11,1,6500,450,2 out of 2,Super Area,Mathikere,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
4018,2022-07-06,3,38000,1496,10 out of 15,Carpet Area,Kondapur,Hyderabad,Semi-Furnished,Bachelors,2,Contact Agent
156,2022-05-15,2,7000,700,Ground out of 3,Carpet Area,Baguiati,Kolkata,Unfurnished,Bachelors,1,Contact Owner
2728,2022-05-14,3,47000,1550,Ground out of 3,Carpet Area,Vasant Kunj,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
1507,2022-05-10,2,10500,800,1 out of 2,Carpet Area,Ramamurthy Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
3886,2022-05-30,1,7000,150,Ground out of 2,Super Area,Musheerabad,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
643,2022-07-08,3,150000,1250,5 out of 8,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
4114,2022-05-12,2,6000,750,1 out of 2,Super Area,"Ramachandra Puram, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
1068,2022-04-29,1,18000,450,2 out of 4,Super Area,"Nem Vihar, Mulund West",Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
3001,2022-05-12,2,10000,950,1 out of 2,Super Area,Selaiyur,Chennai,Unfurnished,Family,2,Contact Owner
3346,2022-07-06,2,9500,900,1 out of 2,Super Area,Ambattur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
3975,2022-07-06,4,100000,3300,Ground out of 14,Carpet Area,"Vittal Rao Nagar, Hitech City",Hyderabad,Semi-Furnished,Family,4,Contact Agent
4219,2022-05-12,3,15000,192,2 out of 4,Super Area,"Bolarum, Medchal Road",Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
330,2022-06-08,1,3000,350,Ground out of 3,Super Area,Belghoria,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
3907,2022-06-26,2,9000,1100,2 out of 2,Super Area,"Vanasthalipuram, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
1881,2022-05-27,1,18000,600,2 out of 4,Super Area,"Itpl, Whitefield",Bangalore,Furnished,Bachelors/Family,1,Contact Owner
4528,2022-05-28,2,18000,940,6 out of 10,Super Area,"Rajendra Nagar, Outer Ring Road",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Agent
4054,2022-06-25,2,25000,1500,Ground out of 2,Super Area,Bowenpally,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2142,2022-06-20,1,5000,150,2 out of 3,Super Area,Rajarajeshwari Nagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
3612,2022-07-06,1,6500,400,Ground out of 2,Super Area,"Perungalathur, Chennai Bypass Road",Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2658,2022-07-02,4,60000,272,Ground out of 4,Carpet Area,Model Town,Delhi,Furnished,Bachelors,3,Contact Agent
1627,2022-06-20,1,6500,400,Ground out of 3,Super Area,Rajajinagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
4151,2022-05-29,3,65000,1800,Ground out of 1,Carpet Area,"Banjara Hills, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent
4374,2022-07-06,3,57000,1838,4 out of 30,Super Area,Gachibowli,Hyderabad,Unfurnished,Bachelors,3,Contact Agent
755,2022-05-13,1,29999,433,8 out of 20,Carpet Area,"Altavista, Sion Trombay Road",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
518,2022-06-08,2,45000,1320,Lower Basement out of 2,Super Area,Ballygunge,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
3467,2022-07-01,2,17000,1000,Ground out of 2,Super Area,"Kesari Nagar, Adambakkam",Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
32,2022-06-16,2,6000,550,1 out of 1,Super Area,Vip Road,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
2692,2022-05-05,1,13000,180,2 out of 2,Carpet Area,Lajpat Nagar 1,Delhi,Unfurnished,Bachelors,1,Contact Owner
744,2022-05-10,1,25000,490,7 out of 8,Super Area,Bhandup East,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
1192,2022-06-07,1,12500,555,6 out of 7,Super Area,"Hubtown Gardenia, Mira Road",Mumbai,Unfurnished,Bachelors,1,Contact Owner
4261,2022-05-25,3,20000,1250,2 out of 6,Super Area,Qutub Shahi Tombs,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2876,2022-05-18,3,25000,1400,3 out of 4,Carpet Area,Palam Extension,Delhi,Unfurnished,Family,3,Contact Agent
1745,2022-05-23,1,5000,500,1 out of 4,Super Area,"Bydara Halli, Benson Town",Bangalore,Semi-Furnished,Family,1,Contact Owner
783,2022-06-16,3,42000,950,5 out of 7,Carpet Area,Mulund East,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
2307,2022-05-23,3,35000,1500,1 out of 9,Carpet Area,Hebbal,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
229,2022-06-19,2,14000,1200,1 out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent
857,2022-06-03,4,150000,1705,16 out of 29,Carpet Area,"Adani Western Heights, Andheri West",Mumbai,Semi-Furnished,Family,3,Contact Agent
2177,2022-04-30,2,12000,850,Ground out of 2,Super Area,Choodasandra,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
408,2022-07-03,3,35000,1320,Ground out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,Unfurnished,Bachelors,2,Contact Agent
170,2022-05-06,1,5000,190,Ground out of 2,Super Area,Baguihati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
540,2022-07-09,2,85000,777,18 out of 24,Carpet Area,"Hiranandani Castle Rock, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
3243,2022-06-18,2,8500,850,3 out of 4,Super Area,Mathur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2823,2022-05-21,4,250000,2800,2 out of 3,Carpet Area,Safdarjung Enclave,Delhi,Unfurnished,Bachelors/Family,4,Contact Owner
3257,2022-05-28,2,14000,900,2 out of 3,Super Area,"Ram Nagar South Extension, Madipakkam",Chennai,Furnished,Bachelors/Family,2,Contact Owner
2525,2022-06-04,1,35000,300,3 out of 5,Super Area,Rajouri Garden,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
1539,2022-06-08,1,10000,600,3 out of 4,Super Area,Btm Layout Stage 4,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
4265,2022-06-06,3,20000,2000,1 out of 3,Carpet Area,Srisailam Highway,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner
3702,2022-06-14,4,100000,2240,Ground out of 3,Carpet Area,Anna Nagar,Chennai,Furnished,Bachelors/Family,4,Contact Agent
2827,2022-06-04,3,35000,1200,3 out of 4,Carpet Area,Rajouri Garden,Delhi,Semi-Furnished,Bachelors,2,Contact Agent
4236,2022-06-22,2,12000,1000,Ground out of 2,Super Area,LIG Colony,Hyderabad,Semi-Furnished,Bachelors,3,Contact Owner
1371,2022-06-30,1,55000,505,4 out of 12,Carpet Area,"Godrej The Trees, Vikhroli East",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
4586,2022-06-14,1,4000,500,2 out of 3,Super Area,Almasguda,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2004,2022-07-04,2,32000,1000,1 out of 5,Super Area,Guttahalli,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
564,2022-07-09,2,40000,680,5 out of 14,Carpet Area,"NG Royal Park, Kanjurmarg East",Mumbai,Furnished,Bachelors,2,Contact Agent
